template,field_id,metric_id,adapter,implementation,outcome,evidence,blocker,note,within_template_observations,within_template_present_pass,within_template_present,within_template_entities
interstate_gas,storage_injections_own,storage_injections_own,gas_xbrl,implemented,implemented_retrieved_validated,32 validated + 0 flagged values across 40 entities,,role=detail; regimes=Form 2;Form 2A,78,32,32,31
interstate_gas,storage_withdrawals,storage_withdrawals,gas_xbrl,implemented,implemented_retrieved_validated,34 validated + 0 flagged values across 40 entities,,role=detail; regimes=Form 2;Form 2A,78,32,32,31
interstate_gas,storage_withdrawals_others,storage_withdrawals_others,gas_xbrl,implemented,implemented_retrieved_validated,32 validated + 0 flagged values across 40 entities,,role=detail; regimes=Form 2;Form 2A,78,30,30,31
interstate_gas,storage_withdrawals_own,storage_withdrawals_own,gas_xbrl,implemented,implemented_retrieved_validated,32 validated + 0 flagged values across 40 entities,,role=detail; regimes=Form 2;Form 2A,78,32,32,31
interstate_gas,tariff_operative_rate,tariff_operative_rate,elibrary_docs,implemented,source_exists_interpretation_blocked,27 observations retained with the comparison gated,ungates per filer when a tariff record's effective status and the governing order are both retrieved and reconciled,role=gated; regimes=eLibrary document,32,0,0,32
interstate_gas,three_day_peak_deliveries,three_day_peak_deliveries,gas_xbrl,implemented,implemented_retrieved_validated,68 validated + 0 flagged values across 40 entities,,role=detail; regimes=Form 2,78,66,66,31
interstate_gas,three_day_peak_start_date,three_day_peak_start_date,gas_xbrl,implemented,implemented_retrieved_validated,60 validated + 2 flagged values across 40 entities,,role=detail; regimes=Form 2,78,58,60,31
interstate_gas,total_throughput,total_throughput,gas_xbrl,implemented,implemented_retrieved_validated,346 validated + 1 flagged values across 40 entities,,role=headline; regimes=Form 3Q Gas;Form 2;Form 2A,365,336,337,31
interstate_gas,transmission_miles,transmission_miles,gas_xbrl,implemented,implemented_retrieved_validated,68 validated + 0 flagged values across 40 entities,,role=profile; regimes=Form 2,78,66,66,31
interstate_gas,transmission_plant,transmission_plant,gas_xbrl,implemented,implemented_retrieved_validated,373 validated + 0 flagged values across 40 entities,,role=profile; regimes=Form 2;Form 2A;Form 3Q Gas,365,363,363,31
interstate_gas,utility_operating_expenses,utility_operating_expenses,gas_xbrl,implemented,implemented_retrieved_validated,785 validated + 0 flagged values across 40 entities,,role=headline; regimes=Form 2;Form 2A;Form 3Q Gas;Form 3Q Gas;Form 2;Form 2A,807,725,725,31
intrastate_549d,i311_affiliate_activity,i311_affiliate_activity,form549d,implemented,implemented_retrieved_validated,165 validated + 16 flagged values across 28 entities,,role=detail; regimes=Form 549D,280,165,181,28
intrastate_549d,i311_annual_transport_revenue,i311_annual_transport_revenue,form549d,implemented,implemented_retrieved_validated,26 validated + 1 flagged values across 28 entities,,role=headline; regimes=Form 549D,56,26,27,28
intrastate_549d,i311_billed_transport_usage,i311_billed_transport_usage,form549d,implemented,implemented_retrieved_validated,98 validated + 30 flagged values across 28 entities,,role=headline; regimes=Form 549D,303,98,128,28
intrastate_549d,i311_component_rates,i311_component_rates,form549d,implemented,implemented_retrieved_validated,202 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 549D,280,202,202,28
intrastate_549d,i311_contract_expiry,i311_contract_expiry,form549d,implemented,implemented_retrieved_validated,231 validated + 0 flagged values across 28 entities,,role=conditional; regimes=Form 549D,280,231,231,28
intrastate_549d,i311_discounts_and_schedules,i311_discounts_and_schedules,form549d,implemented,implemented_retrieved_validated,232 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 549D,280,232,232,28
intrastate_549d,i311_firm_share,i311_firm_share,form549d,implemented,implemented_retrieved_validated,165 validated + 16 flagged values across 28 entities,,role=headline; regimes=Form 549D,280,165,181,28
intrastate_549d,i311_points_decoded,i311_points_decoded,form549d,implemented,implemented_retrieved_validated,232 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 549D,280,232,232,28
intrastate_549d,i311_reporting_state,i311_reporting_state,form549d,implemented,implemented_retrieved_validated,271 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 549D,280,271,271,28
intrastate_549d,i311_revenue_components,i311_revenue_components,form549d,implemented,implemented_retrieved_validated,45 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 549D,56,45,45,28
intrastate_549d,i311_revenue_grain_diagnostic,i311_revenue_grain_diagnostic,form549d,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 549D,56,55,55,28
intrastate_549d,i311_storage_determinants,i311_storage_determinants,form549d,implemented,implemented_retrieved_validated,135 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 549D,280,135,135,28
intrastate_549d,i311_top5_shipper_share,i311_top5_shipper_share,form549d,implemented,implemented_retrieved_validated,165 validated + 16 flagged values across 28 entities,,role=headline; regimes=Form 549D,280,165,181,28
intrastate_549d,rate_case_status,rate_case_status,elibrary_docs,implemented,implemented_retrieved_validated,18 validated + 0 flagged values across 97 entities,,role=headline; regimes=eLibrary document,33,5,14,28
intrastate_549d,rate_effective_date,rate_effective_date,elibrary_docs,implemented,implemented_retrieved_validated,16 validated + 0 flagged values across 97 entities,,role=detail; regimes=eLibrary document,31,5,5,28
liquids,liq_accum_depreciation,liq_accum_depreciation,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=profile; regimes=Form 6,55,55,55,28
liquids,liq_allowance_revenue,liq_allowance_revenue,liquids_xbrl,implemented,implemented_retrieved_validated,23 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6,55,23,23,28
liquids,liq_barrel_miles,liq_barrel_miles,liquids_xbrl,implemented,implemented_retrieved_validated,72 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6;Form 6 Page 700,110,72,72,28
liquids,liq_barrels_delivered,liq_barrels_delivered,liquids_xbrl,implemented,implemented_retrieved_validated,471 validated + 0 flagged values across 28 entities,,role=headline; regimes=Form 6;Form 6Q;Form 6Q,611,471,471,28
liquids,liq_barrels_received,liq_barrels_received,liquids_xbrl,implemented,implemented_retrieved_validated,468 validated + 0 flagged values across 28 entities,,role=trend; regimes=Form 6;Form 6Q;Form 6Q,609,468,468,28
liquids,liq_carrier_property,liq_carrier_property,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=profile; regimes=Form 6,55,55,55,28
liquids,liq_delivery_revenue,liq_delivery_revenue,liquids_xbrl,implemented,implemented_retrieved_validated,8 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6,55,8,8,28
liquids,liq_form6_filing_completeness,liq_form6_filing_completeness,liquids_xbrl,partial,retrieval_or_access_failure,55 observations record a retrieval or parse failure,see blockers table,role=detail; regimes=Form 6,55,0,0,28
liquids,liq_gross_additions,liq_gross_additions,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=profile; regimes=Form 6,55,55,55,28
liquids,liq_incidental_revenue,liq_incidental_revenue,liquids_xbrl,implemented,implemented_retrieved_validated,19 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6,55,19,19,28
liquids,liq_miles_of_pipeline,liq_miles_of_pipeline,liquids_xbrl,implemented,implemented_retrieved_validated,34 validated + 0 flagged values across 28 entities,,role=profile; regimes=Form 6,55,34,34,28
liquids,liq_net_carrier_operating_income,liq_net_carrier_operating_income,liquids_xbrl,implemented,implemented_retrieved_validated,483 validated + 0 flagged values across 28 entities,,role=headline; regimes=Form 6;Form 6Q;Form 6Q,483,483,483,28
